"","segment","Effort","TRIPID","TripID_Num","survey","Season","SIGHTTIME","USEDINEST","CLOUDCOVERAGE","TURBIDITY","beaufort","SUBJ_WAVG","GLAREMAG_WAVG","CELLAREA_KM2","object","SPECIES","Species_Hab_Num","detected","SIGHTLAT","SIGHTLON","observer","TEAM","OBSERVER_Name","BEHAVIOR","CUE","SWELLHEIGHT","distance","AVAILAFT","TRANSECT","SWIMDIR","size","ECOREGION","survey.1","plat.id","surv.id","Region.Label","Sample.Label","JD"
"1","3021509.2011.29",2.824,"TONE11SUM",3,2,2,NA,"",NA,NA,1.8,2.5,3,63.398156,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8299. TONE11SUM:3021509:28","8122. 3021509",228
"2","3021510.2011.29",3.327,"TONE11SUM",3,2,2,NA,"",NA,NA,1.8,2.5,3,83.925149,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8300. TONE11SUM:3021510:28","8123. 3021510",228
"3","3021511.2012.39",5.107,"TONE12FAL",6,2,3,NA,"",NA,NA,3.2,2.75,3,84.956089,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"8301. TONE12FAL:3021511:38","8124. 3021511",308
"4","3021512.2012.39",6.022,"TONE12FAL",6,2,3,NA,"",NA,NA,3.2,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"8305. TONE12FAL:3021512:38","8128. 3021512",308
"5","3021747.2012.15",6.889,"TONE12SPR",5,2,1,NA,"",NA,NA,3.8,1.973,2.685,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"8312. TONE12SPR:3021747:14","8135. 3021747",116
"6","3021747.2011.29",5.185,"TONE11SUM",3,2,2,NA,"",NA,NA,3.8,1.335,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8314. TONE11SUM:3021747:28","8137. 3021747",228
"7","3021747.2012.39",5.618,"TONE12FAL",6,2,3,NA,"",NA,NA,3.022,2.898,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"8311. TONE12FAL:3021747:38","8134. 3021747",308
"8","3021748.2012.15",4.807,"TONE12SPR",5,2,1,NA,"",NA,NA,3.287,3.132,2,97.640613,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"8319. TONE12SPR:3021748:14","8142. 3021748",116
"9","3021748.2011.29",5.326,"TONE11SUM",3,2,2,NA,"",NA,NA,3.8,3,3,97.640613,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"8321. TONE11SUM:3021748:28","8144. 3021748",228
"10","3021748.2012.39",5.773,"TONE12FAL",6,2,3,NA,"",NA,NA,3.2,2.75,3,97.640613,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"8318. TONE12FAL:3021748:38","8141. 3021748",308
