"","X","Area","Area.S","segment","Julian.Date","Season","Survey","Effort","Beaufort","Glare","Subjective","SST","DEPTH","DIST2SHORE","DIST125","phat","g0_ship","ds_ship","g0_plane","ds_plane","Species_DS_Num","Species_Hab_Num","NSights"
"1",1,100,45.24,"3029201.2011.28",220,2,1,3.77,4.141,0,2,16.3006916,-326.7778015,141.1562958,3248.402929,0.121715962,0.663167547,0.183537271,-9999,-9999,-9999,1,0
"4",4,100,79.368,"3029202.2011.28",220,2,1,6.614,4.156,0,2,16.17152023,-801.199646,143.1022186,9377.145185,0.121925676,0.663167547,0.183853502,-9999,-9999,-9999,1,0
"7",7,100,120.636,"3029441.2011.28",220,2,1,10.053,3.8,0,2,16.42324448,-835.5617676,151.1132507,12852.48274,0.117034958,0.663167547,0.176478718,-9999,-9999,-9999,1,0
"10",10,100,41.244,"3029442.2011.28",220,2,1,3.437,3.88,0,2,16.50107002,-1253.045654,153.057724,17105.25116,0.118118368,0.663167547,0.178112407,-9999,-9999,-9999,1,0
"13",13,100,120.336,"3029443.2011.28",220,2,1,10.028,4.354,0,2,16.49122429,-1573.023193,155.0296173,23504.39802,0.124724375,0.663167547,0.188073702,-9999,-9999,-9999,1,0
"16",16,100,60.732,"3029444.2011.28",220,2,1,5.061,4.4,0,2,16.5021801,-1743.752075,158.9823456,30621.27489,0.125382741,0.663167547,0.189066461,-9999,-9999,-9999,1,0
"19",19,100,120.408,"3029445.2011.28",220,2,1,10.034,4.433,0,2,16.58003426,-1970.149414,161.9671631,38199.6642,0.125856956,0.663167547,0.189781536,-9999,-9999,-9999,1,0
"22",22,100,110.076,"3029446.2011.28",220,2,1,9.173,4.58,1.695,1.494,16.66979027,-2101.995605,165.962326,45207.83741,0.066672639,0.663167547,0.100536643,-9999,-9999,-9999,1,0
"25",25,100,61.008,"3029447.2011.28",220,2,1,5.084,4.4,3,1.312,16.83008575,-2185.373047,170.9701691,50804.22573,0.051233718,0.663167547,0.07725607,-9999,-9999,-9999,1,0
"28",28,100,120.516,"3029681.2011.28",220,2,1,10.043,3.8,0,2,16.65205002,-1141.80188,161.0703888,22784.01571,0.117034958,0.663167547,0.176478718,-9999,-9999,-9999,1,0
"31",31,100,120.516,"3030402.2011.28",220,2,1,10.043,3.324,0,2.586,18.22304344,-1939.543091,191.8814545,37614.52031,0.225685611,0.663167547,0.176478718,-9999,-9999,-9999,1,0
"34",34,100,120.516,"3030642.2011.28",220,2,1,10.043,3.2,0,3,18.4570446,-2170.770508,201.8377686,40774.29532,0.34706456,0.663167547,0.176478718,-9999,-9999,-9999,1,0
"37",37,100,118.884,"3029921.2011.28",220,2,1,9.907,3.801,0,2,16.96636963,-1354.293335,171.02771,25364.91908,0.117048445,0.663167547,0.176499055,-9999,-9999,-9999,1,0
"40",40,100,93.336,"3030161.2011.28",220,2,1,7.778,3.9,0,2,17.62608719,-1551.609131,180.985199,25433.33651,0.118390627,0.663167547,0.17852295,-9999,-9999,-9999,1,0
"43",43,100,27.012,"3030162.2011.28",220,2,1,2.251,3.865,0,2,17.91254807,-1852.516968,182.8505554,35377.52806,0.117914544,0.663167547,0.177805057,-9999,-9999,-9999,1,0
"46",46,100,120.492,"3030882.2011.28",220,2,1,10.041,3.2,0,3,18.41889954,-2392.185547,211.79422,42097.68065,0.34706456,0.663167547,0.523343703,-9999,-9999,-9999,1,0
"49",49,100,105.024,"3031116.2011.28",220,2,1,8.752,1,0,3,16.91330719,-195.8272095,216.3326721,1119.964262,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"52",52,100,120.12,"3031117.2011.28",220,2,1,10.01,1,0,3,17.26565933,-318.2816467,216.4091339,1490.233042,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"55",55,100,127.992,"3031118.2011.28",220,2,1,10.666,2.317,0,3,17.7569313,-706.2300415,217.6706085,3477.322498,0.320200042,0.663167547,0.482834305,-9999,-9999,-9999,1,0
"58",58,100,120.036,"3031119.2011.28",220,2,1,10.003,2.993,0,3,18.27734947,-1547.28479,218.9857025,13457.61536,0.34066809,0.663167547,0.513698374,-9999,-9999,-9999,1,1
