,grid,Area,LAT,LON,DEPTH,DIST2SHORE,DIST125,DIST1000,SST
1,3021507,68.698877,45.1122527,-66.85784951,-10,0,22749.97646,343571.474,12.09924087
2,3021508,10.975375,45.10428111,-66.73132075,-10,0,20947.20367,337804.9124,12.25307309
3,3021509,63.398156,45.09617236,-66.6048214,-10,0.997906148,23561.60353,332239.312,12.36686507
4,3021510,83.925149,45.0879264,-66.47835224,-10,0.670447886,21191.09167,326883.4595,12.53568164
5,3021511,84.956089,45.0795432,-66.35191405,-37.02853394,3.545680523,19189.90486,321111.3246,12.7292741
6,3021512,100,45.07102272,-66.22550761,-76.93292999,8.39772892,21952.15389,315070.9353,12.97085257
7,3021537,1.079928,44.81334029,-63.07792436,-10,0,39203.80022,224142.699,14.82419055
8,3021538,2.234218,44.80124568,-62.95261388,-10,0,35128.66058,220771.4259,14.86092596
9,3021539,13.486736,44.78901367,-62.82735584,-10,0.552160323,29837.25648,216801.7968,14.89147696
10,3021540,74.512992,44.7766443,-62.70215099,-10,0,23366.3066,209882.9841,14.9633421
11,3021747,100,45.02264608,-66.86899624,-1.174295783,1.094068408,14009.67504,335522.2805,12.09924087
12,3021748,97.640613,45.01468248,-66.74265918,-11.81874275,3,10965.8088,329614.9295,12.20684413
13,3021749,100,45.00658206,-66.61635151,-40.42401123,6.864848614,15334.60266,323908.6344,12.36344021
14,3021750,100,44.99834477,-66.490074,-65.12549591,7.665522575,12525.85021,318414.2032,12.56520919
15,3021751,100,44.98997058,-66.36382743,-97.0753479,10.56122589,9203.095002,313131.7412,12.85497082
16,3021752,100,44.98145946,-66.23761256,-102.6334229,17.26155472,13628.54243,307083.434,13.06250295
17,3021753,100,44.97281137,-66.11143016,-105.7310638,21.21886253,18346.02258,301093.7506,13.20968715
18,3021777,27.459424,44.72412219,-63.0947933,-10,0,30740.65996,214830.9179,14.85378068
19,3021778,86.85041,44.71204583,-62.96967187,-10,0.452818781,25717.50813,211311.1359,14.86734497
20,3021779,84.460464,44.69983242,-62.84460273,-10,0.516758382,22530.96873,208212.5576,14.89147696
21,3021780,100,44.68748197,-62.71958663,-26.49553108,5.293139458,15731.12706,202659.8151,14.96744178
22,3021781,100,44.67499453,-62.59462431,-66.01560974,10.00054646,10133.20571,195752.0079,15.04072358
23,3021987,100,44.93303395,-66.88011436,-17.77089119,1.488563895,8070.707711,327580.5909,12.09222934
24,3021988,100,44.92507841,-66.75396824,-62.43848801,5.99215889,1211.597552,321527.363,12.21887461
25,3021989,100,44.91698638,-66.62785147,-86.70204163,8.801361084,9546.146453,315674.9061,12.45156373
26,3021990,100,44.90875783,-66.50176483,-104.4487305,16.62421608,4350.568087,310034.5914,12.71887864
27,3021991,100,44.90039272,-66.3757091,-119.5237045,18.46072769,375.3278345,304618.2031,12.99994146
28,3021992,100,44.89189101,-66.24968503,-115.4537125,24.84239578,4580.160753,299205.0085,13.07691884
29,3021993,100,44.88325268,-66.12369339,-108.4424591,30,11351.56383,293066.5245,13.15054384
30,3021994,100,44.8744777,-65.99773496,-95.53786469,26.22126579,19702.90506,287132.721,13.22477091
31,3022015,2.854008,44.65860605,-63.36163039,-10,0,31467.60827,210894.3244,14.77958003
32,3022016,51.917162,44.64682147,-63.23659523,-2.307828665,1.817853451,25284.93983,208233.075,14.83670423
33,3022017,99.655114,44.63490013,-63.11161071,-17.45715332,5.671058178,21848.3134,205583.7969,14.88268475
34,3022018,100,44.62284205,-62.98667758,-28.40172195,7.21579504,16953.8541,201902.8728,14.93305213
35,3022019,100,44.61064726,-62.8617966,-49.24023438,7.435273647,13632.40591,198657.6017,14.97755612
36,3022020,100,44.59831579,-62.73696849,-80.72908783,12.66842079,8983.901318,195681.2073,15.05663213
37,3022021,100,44.58584765,-62.612194,-105.2733612,18.91523552,1959.509059,188517.8572,15.13039606
38,3022022,100,44.57324289,-62.48747388,-126.9036026,23.92832375,1156.394957,181622.7701,15.2038232
39,3022227,100,44.84341641,-66.89120389,-29.49903107,3,8462.128411,319754.4168,12.12715547
40,3022228,94.681848,44.83546899,-66.76524793,-82.9422226,4.046898842,1294.019353,313550.1373,12.29287722
41,3022229,100,44.82738542,-66.6393213,-110.2248688,9.806412697,4687.755204,307545.9151,12.55615859
42,3022230,100,44.81916567,-66.51342477,-132.2650146,18.15752411,3318.707225,301753.6935,12.87123372
43,3022231,100,44.8108097,-66.3875591,-131.8433838,26.74408913,4314.01791,296185.9096,13.04251536
44,3022232,100,44.80231747,-66.26172506,-129.1324768,31,2597.093554,290850.039,13.05270956
45,3022233,100,44.79368896,-66.13592342,-107.3784866,24.96123695,7043.009806,285157.2336,13.05525071
46,3022234,100,44.78492413,-66.01015493,-94.22200775,19.50790596,16909.74112,279062.2522,13.07868422
